id_kec,kabupaten,kecamatan,mean_lsi,crop_fraction,crop_density_pct,mean_asi,zone,zone_name,prov_rank
3529130.0,Sumenep,Rubaru,0.5849,0.0238,2.38,0.0148,4,Zone 4: Ecological Catchment,494
3502060.0,Ponorogo,Sooko,0.3786,0.027,2.7,0.0146,4,Zone 4: Ecological Catchment,495
3507170.0,Malang,Ngajum,0.5552,0.0312,3.12,0.0144,4,Zone 4: Ecological Catchment,496
3507730.0,Kota Batu,Bumiaji,0.4018,0.0317,3.17,0.0141,4,Zone 4: Ecological Catchment,497
3507300.0,Malang,Ngantang,0.4947,0.0219,2.19,0.0139,4,Zone 4: Ecological Catchment,498
3509730.0,Kota Jember,Patrang,0.5013,0.025,2.5,0.0132,4,Zone 4: Ecological Catchment,499
3505050.0,Blitar,Binangun,0.5639,0.025,2.5,0.0129,4,Zone 4: Ecological Catchment,500
3503010.0,Trenggalek,Panggul,0.4541,0.0435,4.35,0.0126,4,Zone 4: Ecological Catchment,501
3509070.0,Jember,Silo,0.5927,0.0211,2.11,0.0121,4,Zone 4: Ecological Catchment,502
3507171.0,Malang,Wonosari,0.38,0.0159,1.59,0.012,4,Zone 4: Ecological Catchment,503
3512020.0,Situbondo,Jatibanteng,0.5202,0.0238,2.38,0.012,4,Zone 4: Ecological Catchment,504
3504050.0,Tulungagung,Tanggung Gunung,0.583,0.0171,1.71,0.0119,4,Zone 4: Ecological Catchment,505
3503040.0,Trenggalek,Kampak,0.3519,0.0115,1.15,0.0115,4,Zone 4: Ecological Catchment,506
3514040.0,Pasuruan,Tosari,0.4867,0.019,1.9,0.0108,4,Zone 4: Ecological Catchment,507
3503020.0,Trenggalek,Munjungan,0.2059,0.0331,3.31,0.0099,4,Zone 4: Ecological Catchment,508
3501110.0,Pacitan,Ngadirojo,0.3897,0.0294,2.94,0.0095,4,Zone 4: Ecological Catchment,509
3505070.0,Blitar,Doko,0.2994,0.0189,1.89,0.0085,4,Zone 4: Ecological Catchment,510
3505021.0,Blitar,Wonotirto,0.5438,0.0081,0.81,0.0085,4,Zone 4: Ecological Catchment,511
3502190.0,Ponorogo,Ngebel,0.453,0.0135,1.35,0.0081,4,Zone 4: Ecological Catchment,512
3529180.0,Sumenep,Batang-batang,0.5945,0.022,2.2,0.0068,4,Zone 4: Ecological Catchment,513
3508151.0,Lumajang,Kedungjajang,0.384,0.0139,1.39,0.0062,4,Zone 4: Ecological Catchment,514
3510180.0,Banyuwangi,G i r i,0.3555,0.0206,2.06,0.006,4,Zone 4: Ecological Catchment,515
3507060.0,Malang,Sumbermanjing,0.503,0.0062,0.62,0.0058,4,Zone 4: Ecological Catchment,516
3519060.0,Madiun,Karee,0.4491,0.0079,0.79,0.0053,4,Zone 4: Ecological Catchment,517
3501050.0,Pacitan,Kebon Agung,0.4741,0.0081,0.81,0.0052,4,Zone 4: Ecological Catchment,518
3508130.0,Lumajang,Senduro,0.2059,0.0092,0.92,0.005,4,Zone 4: Ecological Catchment,519
3507070.0,Malang,Dampit,0.5414,0.0094,0.94,0.0046,4,Zone 4: Ecological Catchment,520
3507080.0,Malang,Tirtoyudo,0.4118,0.0045,0.45,0.0041,4,Zone 4: Ecological Catchment,521
3504180.0,Tulungagung,Sendang,0.4493,0.0072,0.72,0.004,4,Zone 4: Ecological Catchment,522
3507010.0,Malang,Donomulyo,0.4143,0.0049,0.49,0.004,4,Zone 4: Ecological Catchment,523
3503030.0,Trenggalek,Watulimo,0.2105,0.0199,1.99,0.0031,4,Zone 4: Ecological Catchment,524
3507050.0,Malang,Gedangan,0.5629,0.0063,0.63,0.003,4,Zone 4: Ecological Catchment,525
3507090.0,Malang,Ampelgading,0.3667,0.0057,0.57,0.0023,4,Zone 4: Ecological Catchment,526
3505010.0,Blitar,Bakung,0.4418,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,527
3525100.0,Gresik,Gresik,0.5963,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,528
3524110.0,Lamongan,Lamongan,0.0,0.8108,81.08,0.0,3,Zone 3: Rain-Shadow & Fodder,529
3509191.0,Jember,Jebluk,0.4588,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,530
3507040.0,Malang,Bantur,0.5026,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,531
3503050.0,Trenggalek,Dongko,0.3977,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,532
3501020.0,Pacitan,Punung,0.5214,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,533
3507020.0,Malang,Kalipare,0.5866,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,534
3502010.0,Ponorogo,Ngrayun,0.4085,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,535
3501120.0,Pacitan,Sudimoro,0.3581,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,536
3501100.0,Pacitan,Tulakan,0.3645,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,537
3501090.0,Pacitan,Tegalombo,0.4205,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,538
3501070.0,Pacitan,Nawangan,0.4884,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,539
3501080.0,Pacitan,Bandar,0.4451,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,540
3501060.0,Pacitan,Arjosari,0.5729,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,541
3501030.0,Pacitan,Pringkuku,0.5695,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,542
3529250.0,Sumenep,Masalembo,0.0,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,543
3529230.0,Sumenep,Sapeken,0.0,0.0497,4.97,0.0,4,Zone 4: Ecological Catchment,544
3529220.0,Sumenep,R a a s,0.0,0.3115,31.15,0.0,3,Zone 3: Rain-Shadow & Fodder,545
3529200.0,Sumenep,Nonggunong,0.6401,0.0,0.0,0.0,2,Zone 2: Hydrologic Conveyance,546
3573050.0,Kota Malang,Sukun,0.614,0.0,0.0,0.0,2,Zone 2: Hydrologic Conveyance,547
3503130.0,Trenggalek,Bendungan,0.5408,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,548
3503060.0,Trenggalek,Pule,0.4508,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,549
3501010.0,Pacitan,Donorejo,0.4996,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,550
3504190.0,Tulungagung,Pagerwojo,0.504,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,551
3511121.0,Bondowoso,Pakem,0.4082,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,552
3510170.0,Banyuwangi,Banyuwangi,0.6821,0.2222,22.22,0.0,2,Zone 2: Hydrologic Conveyance,553
3511120.0,Bondowoso,Wringin,0.576,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,554
3525110.0,Gresik,Manyar,0.5173,0.0779,7.79,0.0,4,Zone 4: Ecological Catchment,555
3508140.0,Lumajang,Gucialit,0.132,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,556
3525170.0,Gresik,Bawean/Sangkapura,0.0,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,557
3514020.0,Pasuruan,Tutur,0.5388,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,558
